sensitivity_type,detector,seed,equal_bins_per_dimension,bins_per_dimension,minimum_samples_per_cell,confidence_floor,is_original_setting,detection_ece,detection_ece_defined,undefined_reason,total_detections_entering_calibration,baseline_floor_detection_count,detections_removed_from_baseline_floor,fraction_baseline_detections_retained,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max
binning_minimum_support,yolo11s,42,5,5|5|5|5|5,16,0.001,False,0.06893224856168041,True,,773,773,0,1.0,3125,81,14,505,0.6532988357050453,33.5,17,84
binning_minimum_support,yolo11s,42,7,7|7|7|7|7,1,0.001,False,0.1335427619823776,True,,773,773,0,1.0,16807,187,187,773,1.0,2.0,1,43
binning_minimum_support,yolo11s,42,7,7|7|7|7|7,4,0.001,False,0.08031965418430201,True,,773,773,0,1.0,16807,187,54,556,0.7192755498059509,6.0,4,43
binning_minimum_support,yolo11s,42,7,7|7|7|7|7,8,0.001,False,0.05586475119814589,True,,773,773,0,1.0,16807,187,22,399,0.5161707632600259,15.5,8,43
binning_minimum_support,yolo11s,42,7,7|7|7|7|7,16,0.001,False,0.037250530755269025,True,,773,773,0,1.0,16807,187,11,270,0.34928848641655885,21.0,16,43
confidence_floor,yolo11s,42,5,5|5|5|5|5,8,0.001,True,0.08830178842140679,True,,773,773,0,1.0,3125,81,27,645,0.8344113842173351,17.0,8,84
confidence_floor,yolo11s,42,5,5|5|5|5|5,8,0.005,False,0.09286838636952843,True,,463,773,310,0.5989650711513583,3125,72,19,334,0.7213822894168467,14.0,8,57
confidence_floor,yolo11s,42,5,5|5|5|5|5,8,0.01,False,0.0880961392460198,True,,377,773,396,0.48771021992238034,3125,68,16,250,0.6631299734748011,13.0,9,46
confidence_floor,yolo11s,42,5,5|5|5|5|5,8,0.05,False,0.06952200144190679,True,,220,773,553,0.2846054333764554,3125,62,9,109,0.4954545454545455,10.0,8,21
binning_minimum_support,yolo11s,137,3,3|3|3|3|3,1,0.001,False,0.20562279207553938,True,,394,394,0,1.0,243,37,37,394,1.0,4.0,1,63
binning_minimum_support,yolo11s,137,3,3|3|3|3|3,4,0.001,False,0.18271988100191425,True,,394,394,0,1.0,243,37,19,368,0.934010152284264,11.0,4,63
binning_minimum_support,yolo11s,137,3,3|3|3|3|3,8,0.001,False,0.15209345672448607,True,,394,394,0,1.0,243,37,11,323,0.8197969543147208,23.0,8,63
binning_minimum_support,yolo11s,137,3,3|3|3|3|3,16,0.001,False,0.11737495216128516,True,,394,394,0,1.0,243,37,7,276,0.700507614213198,34.0,22,63
binning_minimum_support,yolo11s,137,5,5|5|5|5|5,1,0.001,False,0.23374273450950617,True,,394,394,0,1.0,3125,101,101,394,1.0,2.0,1,31
binning_minimum_support,yolo11s,137,5,5|5|5|5|5,4,0.001,False,0.1479096371272158,True,,394,394,0,1.0,3125,101,28,280,0.7106598984771574,8.5,4,31
binning_minimum_support,yolo11s,137,5,5|5|5|5|5,8,0.001,True,0.1122666361229376,True,,394,394,0,1.0,3125,101,15,214,0.5431472081218274,12.0,8,31
