detector,family,corruption,severity,value,unit,metric,clean_performance,corrupted_performance,relative_performance,relative_degradation
faster_rcnn,compression,jpeg,3,50.0,quality_percent,map_50,0.37771312207151386,0.29874491763910244,0.7909307360058832,0.20906926399411685
faster_rcnn,compression,jpeg,3,50.0,quality_percent,map_50_95,0.1478022331883237,0.1193422683876479,0.8074456374118972,0.19255436258810277
faster_rcnn,compression,jpeg,4,35.0,quality_percent,precision,0.14392523364485982,0.1336996336996337,0.9289520003805718,0.0710479996194282
faster_rcnn,compression,jpeg,4,35.0,quality_percent,recall,0.6936936936936937,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,compression,jpeg,4,35.0,quality_percent,f1,0.238390092879257,0.2222222222222222,0.932178932178932,0.067821067821068
faster_rcnn,compression,jpeg,4,35.0,quality_percent,iou,0.6920036232087895,0.6757407586135536,0.9764988736333118,0.02350112636668822
faster_rcnn,compression,jpeg,4,35.0,quality_percent,dice,0.8131556609292098,0.8021710201202445,0.9864913431256043,0.01350865687439573
faster_rcnn,compression,jpeg,4,35.0,quality_percent,map_50,0.37771312207151386,0.31857076465359685,0.8434199026669786,0.15658009733302136
faster_rcnn,compression,jpeg,4,35.0,quality_percent,map_50_95,0.1478022331883237,0.12168832215923875,0.8233185624752256,0.1766814375247744
faster_rcnn,compression,jpeg,5,20.0,quality_percent,precision,0.14392523364485982,0.11074380165289256,0.7694536868090587,0.23054631319094132
